id,date,commodity,unit,min,max,avg
181,2026-01-02,भुई कटहर,प्रति गोटा,145.0,155.0,150.0
182,2026-01-02,भेडे खु्र्सानी,के.जी.,70.0,90.0,80.0
183,2026-01-02,मकै बोडी,केजी,50.0,60.0,55.0
184,2026-01-02,मटरकोशा,के.जी.,60.0,90.0,73.33
185,2026-01-02,माछा सुकेको,के.जी.,800.0,1000.0,900.0
186,2026-01-02,मूला रातो,के.जी.,30.0,40.0,36.25
187,2026-01-02,मूला सेतो(लोकल),के.जी.,16.0,25.0,19.75
188,2026-01-02,मेथीको साग,के.जी.,80.0,100.0,90.0
189,2026-01-02,मेवा(नेपाली),के.जी.,60.0,70.0,65.0
190,2026-01-02,मेवा(भारतीय),केजी,90.0,100.0,95.0
191,2026-01-02,मौसम,के.जी.,80.0,110.0,95.0
192,2026-01-02,राजा च्याउ,के.जी.,280.0,300.0,290.0
193,2026-01-02,रातो बन्दा,के.जी.,180.0,200.0,190.0
194,2026-01-02,रायो साग,के.जी.,20.0,50.0,29.38
195,2026-01-02,रुख टमाटर,केजी,200.0,250.0,225.0
196,2026-01-02,लप्सी,के.जी.,65.0,75.0,70.0
197,2026-01-02,लसुन सुकेको चाइनिज,के.जी.,400.0,500.0,456.25
198,2026-01-02,लसुन सुकेको नेपाली,के.जी.,220.0,280.0,247.5
199,2026-01-02,लसुन हरियो,के.जी.,70.0,80.0,75.0
200,2026-01-02,लौका,के.जी.,60.0,70.0,65.0
201,2026-01-02,शरीफा,के‍.जी,180.0,200.0,190.0
202,2026-01-02,सखरखण्ड,के.जी.,60.0,80.0,70.0
203,2026-01-02,सलगम,के.जी.,80.0,90.0,85.0
204,2026-01-02,सिताके च्याउ,के.जी.,800.0,1000.0,900.0
205,2026-01-02,सुन्तला(नेपाली),के.जी.,80.0,110.0,95.0
206,2026-01-02,सेतो मूला(हाइब्रीड),केजी,22.0,30.0,26.25
207,2026-01-02,सेलरी,के.जी.,250.0,300.0,275.0
208,2026-01-02,सौफको साग,के.जी.,70.0,90.0,80.0
209,2026-01-02,स्कूस,के.जी.,25.0,30.0,27.5
210,2026-01-02,स्ट्रबेरी भुईऐसेलु,के.जी.,450.0,500.0,475.0
211,2026-01-02,स्थानीय काउली(ज्यापु),केजी,70.0,80.0,75.0
212,2026-01-02,स्याउ(झोले),के.जी.,200.0,250.0,225.0
213,2026-01-02,स्याउ(फूजी),के जी,300.0,350.0,323.33
214,2026-01-02,हरियो धनिया,के.जी.,80.0,120.0,96.67
215,2026-01-02,हरियो फर्सी(डल्लो),केजी,35.0,40.0,37.5
